챕터명,사이트 링크,파일,연결 기출,시험 포인트 행,볼드 수,정답 선택지 완전 일치,정답 키워드 대조,키워드 대조율,부정형 문항,긍정형 문항,본문 정답 근거 대조,본문 대조율,누락 기출 ID,태그,검토 플래그
폭발 위험 장소 0·1·2종,/industrial-safety/written/electrical/explosion-zones/,electrical/explosion-zones.md,5,6,7,2,4,0.800,1,4,4,1.000,,개념 법령,법령 직접 검토 · 부정형 1
가스 그룹 분류 (IIA/IIB/IIC),/industrial-safety/written/electrical/gas-group-classification/,electrical/gas-group-classification.md,2,6,10,0,1,0.500,2,0,0,1.000,,개념,부정형 2
가스 그룹별 최소 이격거리,/industrial-safety/written/electrical/gas-group-distance/,electrical/gas-group-distance.md,2,6,7,2,2,1.000,0,2,2,1.000,,개념 법령,법령 직접 검토
접지공사 면제·생략 조건,/industrial-safety/written/electrical/grounding-exemption/,electrical/grounding-exemption.md,2,6,6,0,2,1.000,1,1,1,1.000,,개념 법령,법령 직접 검토 · 부정형 1
전기기기 접지 대상,/industrial-safety/written/electrical/grounding-targets/,electrical/grounding-targets.md,1,6,6,0,1,1.000,1,0,0,1.000,,개념 법령,법령 직접 검토 · 부정형 1
접지공사 종류별 기준,/industrial-safety/written/electrical/grounding-types/,electrical/grounding-types.md,9,7,7,2,7,0.778,3,6,6,1.000,,개념 법령,법령 직접 검토 · 부정형 3
절연물 등급별 허용온도,/industrial-safety/written/electrical/insulation-temperature/,electrical/insulation-temperature.md,2,6,6,0,2,1.000,0,2,2,1.000,,개념 법령,법령 직접 검토
누전차단기 설치 불필요 조건,/industrial-safety/written/electrical/leakage-breaker-exception/,electrical/leakage-breaker-exception.md,4,4,4,0,1,0.250,1,3,2,0.667,,개념 법령,법령 직접 검토 · 부정형 1
누전차단기 구조·정격·시설기준,/industrial-safety/written/electrical/leakage-breaker-types/,electrical/leakage-breaker-types.md,11,6,10,3,7,0.636,5,6,6,1.000,,개념,부정형 5
누전 사고 취약 개소,/industrial-safety/written/electrical/leakage-vulnerable-points/,electrical/leakage-vulnerable-points.md,1,6,6,0,1,1.000,1,0,0,1.000,,개념,부정형 1
피뢰기 구비조건,/industrial-safety/written/electrical/lightning-arrester-conditions/,electrical/lightning-arrester-conditions.md,2,6,6,1,1,0.500,1,1,1,1.000,,개념,부정형 1
피뢰설비 설치 기준,/industrial-safety/written/electrical/lightning-protection-standard/,electrical/lightning-protection-standard.md,3,6,8,0,1,0.333,3,0,0,1.000,,개념 법령,법령 직접 검토 · 부정형 3
저압전로 절연저항 기준,/industrial-safety/written/electrical/low-voltage-insulation/,electrical/low-voltage-insulation.md,3,5,6,1,3,1.000,1,2,2,1.000,,개념 법령,법령 직접 검토 · 부정형 1
저압전선로 허용 누설전류,/industrial-safety/written/electrical/max-leakage-current/,electrical/max-leakage-current.md,3,7,7,3,3,1.000,0,3,3,1.000,,개념 법령,법령 직접 검토
옴의 법칙,/industrial-safety/written/electrical/ohms-law/,electrical/ohms-law.md,4,6,6,3,3,0.750,0,4,3,0.750,,계산,계산 직접 검토
정전기 방지 배관 유속 제한,/industrial-safety/written/electrical/pipe-flow-limit/,electrical/pipe-flow-limit.md,2,7,8,0,2,1.000,1,1,1,1.000,,개념 법령,법령 직접 검토 · 부정형 1
전력 기준 전류 (단상·3상),/industrial-safety/written/electrical/power-current/,electrical/power-current.md,1,6,7,1,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
전력 공식,/industrial-safety/written/electrical/power-formula/,electrical/power-formula.md,2,8,10,2,2,1.000,0,2,2,1.000,,계산,계산 직접 검토
정전작업 절차 6단계,/industrial-safety/written/electrical/power-off-procedure/,electrical/power-off-procedure.md,11,6,8,0,6,0.545,5,6,6,1.000,,절차,부정형 5
감전사고 방지 대책,/industrial-safety/written/electrical/shock-prevention/,electrical/shock-prevention.md,9,10,10,2,8,0.889,6,3,3,1.000,,절차,부정형 6
정전기 축적 에너지,/industrial-safety/written/electrical/static-energy/,electrical/static-energy.md,6,10,13,4,5,0.833,0,6,5,0.833,,계산,계산 직접 검토
정전기 발생 요인,/industrial-safety/written/electrical/static-occurrence-factors/,electrical/static-occurrence-factors.md,8,6,6,0,5,0.625,4,4,3,0.750,,개념,부정형 4
정전기 재해 방지 대책,/industrial-safety/written/electrical/static-prevention/,electrical/static-prevention.md,14,15,15,2,9,0.643,10,4,3,0.750,,절차,부정형 10
허용보폭전압·접촉전압,/industrial-safety/written/electrical/step-touch-voltage/,electrical/step-touch-voltage.md,1,7,7,1,1,1.000,0,1,1,1.000,,개념,
심실세동·전격사 위험,/industrial-safety/written/electrical/ventricular-fibrillation-current/,electrical/ventricular-fibrillation-current.md,4,6,6,0,3,0.750,2,2,2,1.000,,계산,계산 직접 검토 · 부정형 2
심실세동 위험한계 에너지,/industrial-safety/written/electrical/vf-danger-energy/,electrical/vf-danger-energy.md,11,10,10,11,5,0.455,0,11,5,0.455,,계산,본문 정답 근거 대조 낮음 · 계산 직접 검토
아크 용접기 허용사용률,/industrial-safety/written/electrical/welder-duty-cycle/,electrical/welder-duty-cycle.md,2,6,6,2,2,1.000,0,2,2,1.000,,계산,계산 직접 검토
