챕터명,사이트 링크,파일,연결 기출,시험 포인트 행,볼드 수,정답 선택지 완전 일치,정답 키워드 대조,키워드 대조율,부정형 문항,긍정형 문항,본문 정답 근거 대조,본문 대조율,누락 기출 ID,태그,검토 플래그
수인식 방호장치 일반구조 기준,/industrial-safety/written/mechanical/hand-pull-device-structure/,mechanical/hand-pull-device-structure.md,1,6,7,0,1,1.000,1,0,0,1.000,,개념 법령,법령 직접 검토 · 부정형 1
보호망·가드 개구부 안전간격,/industrial-safety/written/mechanical/ilo-guard-opening/,mechanical/ilo-guard-opening.md,2,6,6,0,1,0.500,0,2,2,1.000,,계산,계산 직접 검토
산업용 로봇 안전 조치,/industrial-safety/written/mechanical/industrial-robot-safety/,mechanical/industrial-robot-safety.md,10,6,7,2,7,0.700,7,3,3,1.000,,절차,부정형 7
공작기계 안전 (선반·밀링·드릴),/industrial-safety/written/mechanical/machine-tools-safety/,mechanical/machine-tools-safety.md,22,6,7,5,10,0.455,11,11,9,0.818,,절차,부정형 11
금형 설치·해체 안전조치와 안전블록,/industrial-safety/written/mechanical/mold-safety/,mechanical/mold-safety.md,10,9,9,3,7,0.700,7,3,1,0.333,,절차,본문 정답 근거 대조 낮음 · 부정형 7
양중기 과부하방지장치 기준,/industrial-safety/written/mechanical/overload-prevention-device/,mechanical/overload-prevention-device.md,4,6,6,1,2,0.500,1,3,3,1.000,,개념 법령,법령 직접 검토 · 부정형 1
침투탐상검사 순서 6단계,/industrial-safety/written/mechanical/penetrant-test-procedure/,mechanical/penetrant-test-procedure.md,2,6,6,0,1,0.500,0,2,1,0.500,,절차,
프레스 방호장치 적용 조건과 SPM 기준,/industrial-safety/written/mechanical/press-device-conditions/,mechanical/press-device-conditions.md,2,7,11,0,2,1.000,2,0,0,1.000,,개념,부정형 2
프레스 작업시작 전 점검사항 7가지,/industrial-safety/written/mechanical/press-pre-work-checklist/,mechanical/press-pre-work-checklist.md,9,6,6,0,7,0.778,7,2,2,1.000,,절차 법령,법령 직접 검토 · 부정형 7
프레스 방호장치 종류,/industrial-safety/written/mechanical/press-safety-devices/,mechanical/press-safety-devices.md,12,6,6,3,9,0.750,4,8,7,0.875,,개념,부정형 4
프레스 방호장치 안전거리,/industrial-safety/written/mechanical/press-safety-distance/,mechanical/press-safety-distance.md,4,6,8,1,4,1.000,0,4,4,1.000,,계산,계산 직접 검토
롤러기 급정지장치 조작부 로프 기준,/industrial-safety/written/mechanical/roller-stop-rope-standard/,mechanical/roller-stop-rope-standard.md,1,4,5,0,1,1.000,0,1,1,1.000,,개념 법령,법령 직접 검토
롤러기 급정지거리,/industrial-safety/written/mechanical/roller-stopping-distance/,mechanical/roller-stopping-distance.md,5,10,12,3,5,1.000,2,3,3,1.000,,계산,계산 직접 검토 · 부정형 2
안전인증대상 방호장치 판별,/industrial-safety/written/mechanical/safety-certification-8/,mechanical/safety-certification-8.md,1,4,4,1,1,1.000,1,0,0,1.000,,개념 법령,법령 직접 검토 · 부정형 1
안전계수 (SF),/industrial-safety/written/mechanical/safety-factor/,mechanical/safety-factor.md,6,6,6,3,4,0.667,0,6,6,1.000,,계산,계산 직접 검토
형삭기 구조와 램,/industrial-safety/written/mechanical/shaper-structure/,mechanical/shaper-structure.md,1,6,6,1,1,1.000,1,0,0,1.000,,개념,부정형 1
슬링 와이어 장력,/industrial-safety/written/mechanical/sling-wire-tension/,mechanical/sling-wire-tension.md,1,7,8,1,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
서징(Surging) 현상,/industrial-safety/written/chemical/surging-phenomenon/,mechanical/surging-phenomenon.md,1,8,9,0,1,1.000,1,0,0,1.000,,개념,부정형 1
재료 시험 종류,/industrial-safety/written/mechanical/test-types/,mechanical/test-types.md,14,15,15,3,7,0.500,7,7,4,0.571,,개념,부정형 7
주요 용접 결함 종류,/industrial-safety/written/mechanical/welding-defects/,mechanical/welding-defects.md,3,6,6,2,2,0.667,1,2,2,1.000,,개념,부정형 1
와이어 로프 꼬임 종류,/industrial-safety/written/mechanical/wire-rope-twist-types/,mechanical/wire-rope-twist-types.md,2,6,7,0,2,1.000,2,0,0,1.000,,개념,부정형 2
재해분석 도구 4종,/industrial-safety/written/safety-management/accident-analysis-tools/,safety-management/accident-analysis-tools.md,5,6,6,3,3,0.600,2,3,3,1.000,,개념,부정형 2
재해 원인 분류,/industrial-safety/written/safety-management/accident-cause-classification/,safety-management/accident-cause-classification.md,5,6,8,0,4,0.800,3,2,2,1.000,,개념,부정형 3
재해 발생 학설 4가지,/industrial-safety/written/safety-management/accident-occurrence-theories/,safety-management/accident-occurrence-theories.md,4,4,4,3,3,0.750,3,1,1,1.000,,개념,부정형 3
재해예방 4원칙,/industrial-safety/written/safety-management/accident-prevention-principles/,safety-management/accident-prevention-principles.md,6,6,7,0,6,1.000,5,1,1,1.000,,개념,부정형 5
재해 비율 법칙,/industrial-safety/written/safety-management/accident-ratio-law/,safety-management/accident-ratio-law.md,5,6,10,1,3,0.600,0,5,3,0.600,,개념,
연천인율,/industrial-safety/written/safety-management/annual-1000-rate/,safety-management/annual-1000-rate.md,3,8,8,1,2,0.667,0,3,3,1.000,,계산,계산 직접 검토
버드의 수정 도미노 이론,/industrial-safety/written/safety-management/bird-domino-theory/,safety-management/bird-domino-theory.md,2,6,6,0,1,0.500,1,1,1,1.000,,개념,부정형 1
부주의 발생 원인·사고방지대책,/industrial-safety/written/safety-management/carelessness-misjudgment/,safety-management/carelessness-misjudgment.md,2,6,6,1,2,1.000,1,1,1,1.000,,개념,부정형 1
사망만인율,/industrial-safety/written/safety-management/fatality-per-10k/,safety-management/fatality-per-10k.md,1,4,4,1,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
도수율,/industrial-safety/written/safety-management/frequency-rate/,safety-management/frequency-rate.md,1,5,6,1,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
종합재해지수 (FSI),/industrial-safety/written/safety-management/frequency-severity-indicator/,safety-management/frequency-severity-indicator.md,1,5,6,1,1,1.000,0,1,1,1.000,,계산,계산 직접 검토
집단토의법 종류,/industrial-safety/written/safety-management/group-discussion-methods/,safety-management/group-discussion-methods.md,1,6,6,0,1,1.000,0,1,1,1.000,,개념,
위험예지훈련,/industrial-safety/written/safety-management/hazard-prediction-training/,safety-management/hazard-prediction-training.md,5,6,7,1,3,0.600,1,4,4,1.000,,절차,부정형 1
하인리히 도미노 이론,/industrial-safety/written/safety-management/heinrich-domino-theory/,safety-management/heinrich-domino-theory.md,2,6,6,0,2,1.000,0,2,2,1.000,,개념,
인간 동작특성 - 과정별 착오요인,/industrial-safety/written/safety-management/human-error-by-process/,safety-management/human-error-by-process.md,3,9,9,1,3,1.000,2,1,1,1.000,,개념,부정형 2
인간관계 메커니즘,/industrial-safety/written/safety-management/human-relations-mechanism/,safety-management/human-relations-mechanism.md,4,6,6,2,2,0.500,2,2,2,1.000,,개념,부정형 2
산재보험 보험급여 8종,/industrial-safety/written/safety-management/industrial-accident-insurance/,safety-management/industrial-accident-insurance.md,4,9,12,3,3,0.750,3,1,1,1.000,,개념 법령,법령 직접 검토 · 부정형 3
리더십·헤드십,/industrial-safety/written/safety-management/leadership-headship/,safety-management/leadership-headship.md,2,6,6,0,1,0.500,2,0,0,1.000,,개념,부정형 2
학습이론 (손다이크·파블로프·스키너),/industrial-safety/written/safety-management/learning-theories/,safety-management/learning-theories.md,2,6,7,0,2,1.000,1,1,1,1.000,,개념,부정형 1
동기부여 이론 (매슬로·맥그리거·허즈버그),/industrial-safety/written/safety-management/motivation-theories/,safety-management/motivation-theories.md,3,8,8,2,2,0.667,2,1,0,0.000,,개념,본문 정답 근거 대조 낮음 · 부정형 2
OJT·Off-JT,/industrial-safety/written/safety-management/ojt-offjt/,safety-management/ojt-offjt.md,5,6,7,0,3,0.600,3,2,1,0.500,,개념,부정형 3
제조물책임법 결함 유형,/industrial-safety/written/safety-management/product-liability-defects/,safety-management/product-liability-defects.md,0,6,6,0,0,1.000,0,0,0,1.000,,개념 법령,법령 직접 검토
보호구 종류 및 적용,/industrial-safety/written/safety-management/protective-equipment-types/,safety-management/protective-equipment-types.md,10,14,13,7,9,0.900,1,9,8,0.889,,개념,부정형 1
위험성 감소 대책 우선순위,/industrial-safety/written/safety-management/risk-reduction-priority/,safety-management/risk-reduction-priority.md,1,7,11,0,1,1.000,0,1,1,1.000,,절차,
안전보건교육 시간 총정리,/industrial-safety/written/safety-management/safety-education-hours/,safety-management/safety-education-hours.md,4,7,9,1,4,1.000,3,1,1,1.000,,개념 법령,법령 직접 검토 · 부정형 3
교육의 3단계·단계별 과정,/industrial-safety/written/safety-management/safety-education-stages/,safety-management/safety-education-stages.md,2,6,6,1,2,1.000,1,1,1,1.000,,절차,부정형 1
안전점검 종류,/industrial-safety/written/safety-management/safety-inspection-types/,safety-management/safety-inspection-types.md,5,6,6,3,4,0.800,1,4,3,0.750,,개념,부정형 1
안전관리 조직 (라인·스태프),/industrial-safety/written/safety-management/safety-management-organization/,safety-management/safety-management-organization.md,6,6,6,0,5,0.833,3,3,3,1.000,,개념,부정형 3
안전관리자·보건관리자 선임 기준,/industrial-safety/written/safety-management/safety-manager-appointment/,safety-management/safety-manager-appointment.md,3,5,5,0,1,0.333,1,2,2,1.000,,개념,부정형 1
안전표지 종류,/industrial-safety/written/safety-management/safety-signs/,safety-management/safety-signs.md,15,6,6,2,9,0.600,5,10,8,0.800,,개념,부정형 5
중대재해 범위,/industrial-safety/written/safety-management/serious-accident-criteria/,safety-management/serious-accident-criteria.md,2,6,6,0,1,0.500,2,0,0,1.000,,개념 법령,법령 직접 검토 · 부정형 2
강도율,/industrial-safety/written/safety-management/severity-rate/,safety-management/severity-rate.md,7,9,9,2,6,0.857,2,5,4,0.800,,계산,계산 직접 검토 · 부정형 2
사회행동 기본형태,/industrial-safety/written/safety-management/social-behavior-types/,safety-management/social-behavior-types.md,1,7,7,1,1,1.000,1,0,0,1.000,,개념,부정형 1
TWI 등 관리감독자 훈련,/industrial-safety/written/safety-management/twi-supervisor-training/,safety-management/twi-supervisor-training.md,5,6,6,0,4,0.800,3,2,2,1.000,,개념,부정형 3
타일러 학습경험 원리,/industrial-safety/written/safety-management/tyler-learning-principles/,safety-management/tyler-learning-principles.md,1,3,3,0,1,1.000,0,1,1,1.000,,개념,
무재해운동 3요소·3원칙,/industrial-safety/written/safety-management/zero-accident-movement/,safety-management/zero-accident-movement.md,5,6,6,2,5,1.000,2,3,3,1.000,,개념,부정형 2
